[key][2017-04-05 00:29:28:825]LuaManager初始化好了
[key][2017-04-05 00:29:28:928]GameMode:0
[key][2017-04-05 00:29:28:956]GameManager初始化好了，游戏正式开始。
[info][2017-04-05 00:30:24:317]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:25:201]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:25:312]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:25:340]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:25:368]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:25:472]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:25:981]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:30:048]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:30:218]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:30:500]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:30:716]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:31:802]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:31:977]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:33:680]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:33:692]CharacterStateType.ATTACK
[info][2017-04-05 00:30:33:809]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:34:858]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:37:216]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:37:962]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:38:322]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:38:350]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:38:737]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:38:876]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:41:338]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:42:780]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:43:880]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:43:958]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:30:44:720]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

